clip_id,source_path,action_type,fps_original,fps_target,width,height,duration_sec,start_time_sec,end_time_sec,difficulty_tags,notes
suzhou_img_8084,../baseball-dataset-suzhou/IMG_8084.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8085,../baseball-dataset-suzhou/IMG_8085.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8086,../baseball-dataset-suzhou/IMG_8086.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8087,../baseball-dataset-suzhou/IMG_8087.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8088,../baseball-dataset-suzhou/IMG_8088.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8089,../baseball-dataset-suzhou/IMG_8089.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8090,../baseball-dataset-suzhou/IMG_8090.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8091,../baseball-dataset-suzhou/IMG_8091.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8092,../baseball-dataset-suzhou/IMG_8092.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8093,../baseball-dataset-suzhou/IMG_8093.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8094,../baseball-dataset-suzhou/IMG_8094.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8095,../baseball-dataset-suzhou/IMG_8095.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8096,../baseball-dataset-suzhou/IMG_8096.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8097,../baseball-dataset-suzhou/IMG_8097.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8098,../baseball-dataset-suzhou/IMG_8098.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8099,../baseball-dataset-suzhou/IMG_8099.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8100,../baseball-dataset-suzhou/IMG_8100.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8102,../baseball-dataset-suzhou/IMG_8102.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8104,../baseball-dataset-suzhou/IMG_8104.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8105,../baseball-dataset-suzhou/IMG_8105.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8106,../baseball-dataset-suzhou/IMG_8106.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8107,../baseball-dataset-suzhou/IMG_8107.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8109,../baseball-dataset-suzhou/IMG_8109.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8110,../baseball-dataset-suzhou/IMG_8110.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8111,../baseball-dataset-suzhou/IMG_8111.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8112,../baseball-dataset-suzhou/IMG_8112.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8113,../baseball-dataset-suzhou/IMG_8113.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8114,../baseball-dataset-suzhou/IMG_8114.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8115,../baseball-dataset-suzhou/IMG_8115.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8117,../baseball-dataset-suzhou/IMG_8117.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8118,../baseball-dataset-suzhou/IMG_8118.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8119,../baseball-dataset-suzhou/IMG_8119.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8120,../baseball-dataset-suzhou/IMG_8120.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8121,../baseball-dataset-suzhou/IMG_8121.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8122,../baseball-dataset-suzhou/IMG_8122.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8123,../baseball-dataset-suzhou/IMG_8123.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8125,../baseball-dataset-suzhou/IMG_8125.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8126,../baseball-dataset-suzhou/IMG_8126.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8127,../baseball-dataset-suzhou/IMG_8127.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8128,../baseball-dataset-suzhou/IMG_8128.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8129,../baseball-dataset-suzhou/IMG_8129.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8130,../baseball-dataset-suzhou/IMG_8130.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8131,../baseball-dataset-suzhou/IMG_8131.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8132,../baseball-dataset-suzhou/IMG_8132.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8133,../baseball-dataset-suzhou/IMG_8133.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8134,../baseball-dataset-suzhou/IMG_8134.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8135,../baseball-dataset-suzhou/IMG_8135.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8136,../baseball-dataset-suzhou/IMG_8136.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
