trial_id,sample_name,athlete,action_type,source_file,module,metric_name_zh,metric_key,value,unit,aggregation,event_name,event_rule,event_frame,event_frames,points_used,formula,components_json,notes
coach_008-coach_cal_03_bat_02,coach,coach,batting,vicon_2026/coach/008-coach Cal 03 Bat 02.c3d,Ready Position,重心高度,ready_com_height_ratio,0.7958506256106289,height_ratio,event mean over Ready Position frames,Ready Position,"5 continuous low-speed raised-bat frames before detected swing; ready search start frame 765; swing raw frames 833-862, expanded frames 818-877",767,765;766;767;768;769,CentreOfMass;LASI;RASI;LPSI;RPSI;C7;T10;CLAV;STRN;LFHD;RFHD;LBHD;RBHD;LANK;RANK;LHEE;RHEE;LTOE;RTOE,mean(COM_Z_ready_event) / height_proxy; COM=CentreOfMass if present else 0.6*hip_mid+0.4*trunk_mid; height_proxy=mean(head_Z_ready_event)-mean(feet_Z_ready_event),{},"event-based, not fixed time window"
coach_008-coach_cal_03_bat_02,coach,coach,batting,vicon_2026/coach/008-coach Cal 03 Bat 02.c3d,Ready Position,后髋屈曲角,ready_rear_hip_flexion_deg,46.84075315194106,deg,event mean over Ready Position frames,Ready Position,"5 continuous low-speed raised-bat frames before detected swing; ready search start frame 765; swing raw frames 833-862, expanded frames 818-877",767,765;766;767;768;769,R hip;R knee;shoulder_mid,"180 - angle(shoulder_mid, rear_hip, rear_knee)",{},"right-handed assumption: rear side=R, front side=L"
coach_008-coach_cal_03_bat_02,coach,coach,batting,vicon_2026/coach/008-coach Cal 03 Bat 02.c3d,Ready Position,后膝屈曲角,ready_rear_knee_flexion_deg,33.506086198182885,deg,event mean over Ready Position frames,Ready Position,"5 continuous low-speed raised-bat frames before detected swing; ready search start frame 765; swing raw frames 833-862, expanded frames 818-877",767,765;766;767;768;769,R hip;R knee;R ankle/heel/toe,"180 - angle(rear_hip, rear_knee, rear_ankle)",{},"right-handed assumption: rear side=R, front side=L"
coach_008-coach_cal_03_bat_02,coach,coach,batting,vicon_2026/coach/008-coach Cal 03 Bat 02.c3d,Ready Position,髋肩分离角,ready_hip_shoulder_separation_deg,22.99514989379079,deg,event mean over Ready Position frames,Ready Position,"5 continuous low-speed raised-bat frames before detected swing; ready search start frame 765; swing raw frames 833-862, expanded frames 818-877",767,765;766;767;768;769,LASI;RASI;LPSI;RPSI;LSHO;RSHO,abs(wrap_to_180(torso_rotation_xy - pelvis_rotation_xy)),{},"event-based, not fixed time window"
coach_008-coach_cal_03_bat_02,coach,coach,batting,vicon_2026/coach/008-coach Cal 03 Bat 02.c3d,Ready Position,球棒倾角,ready_bat_tilt_deg,25.84991487117274,deg,event mean over Ready Position frames,Ready Position,"5 continuous low-speed raised-bat frames before detected swing; ready search start frame 765; swing raw frames 833-862, expanded frames 818-877",767,765;766;767;768;769,Bat1;Bat5,"atan2(abs((Bat1-Bat5)_Z), norm((Bat1-Bat5)_XY))",{},"0 deg=parallel to ground, 90 deg=vertical"
coach_008-coach_cal_03_bat_02,coach,coach,batting,vicon_2026/coach/008-coach Cal 03 Bat 02.c3d,Ready Position,握棒手高度,ready_hand_height_ratio,0.9951626728166076,height_ratio,event mean over Ready Position frames,Ready Position,"5 continuous low-speed raised-bat frames before detected swing; ready search start frame 765; swing raw frames 833-862, expanded frames 818-877",767,765;766;767;768;769,LWRA;LWRB;RWRA;RWRB;LFHD;RFHD;LBHD;RBHD;LANK;RANK;LHEE;RHEE;LTOE;RTOE,"mean(grip_hand_center_Z_ready) / height_proxy; grip_hand_center=mean(left_wrist_center,right_wrist_center)",{},"event-based, not fixed time window"
coach_008-coach_cal_03_bat_02,coach,coach,batting,vicon_2026/coach/008-coach Cal 03 Bat 02.c3d,Contact Position,球棒速度,contact_bat_speed_kmh,93.86080743393491,km/h,event mean over Contact Position frames,Contact Position,5 frames with lowest Bat1_Z inside detected swing segment 818-877,841,839;840;841;842;843,Bat1,mean(norm(diff(Bat1_xyz)/dt) at Contact Position event frames)*3.6/1000,"{""event_fixed_value"": 93.86080743393491, ""instant_frame"": 841, ""instant_value"": 93.81401081925372}","Contact Position event is lowest Bat1_Z frames, not bat-speed peak"
coach_008-coach_cal_03_bat_02,coach,coach,batting,vicon_2026/coach/008-coach Cal 03 Bat 02.c3d,Contact Position,挥棒路径角（Attack Angle）,contact_attack_angle_deg,-13.518565929483378,deg,event mean over Contact Position frames,Contact Position,5 frames with lowest Bat1_Z inside detected swing segment 818-877,841,839;840;841;842;843,Bat1,"atan2(Bat1_velocity_Z, norm(Bat1_velocity_XY))","{""event_fixed_value"": -13.518565929483378, ""instant_frame"": 841, ""instant_value"": -14.225658828129907}",Contact Position event is lowest Bat1_Z frames
coach_008-coach_cal_03_bat_02,coach,coach,batting,vicon_2026/coach/008-coach Cal 03 Bat 02.c3d,Contact Position,骨盆旋转角,contact_pelvis_rotation_open_deg,93.43183546897825,deg,event mean over Contact Position frames,Contact Position,5 frames with lowest Bat1_Z inside detected swing segment 818-877,841,839;840;841;842;843,LASI;RASI;LPSI;RPSI,abs(wrap_to_180(pelvis_rotation_xy_contact_event - mean(pelvis_rotation_xy_ready_event))),"{""signed_event_value_deg"": -93.43183546897825}",direction-normalized opening magnitude; signed raw value depends on Vicon XY facing direction
coach_008-coach_cal_03_bat_02,coach,coach,batting,vicon_2026/coach/008-coach Cal 03 Bat 02.c3d,Contact Position,躯干旋转角,contact_torso_rotation_open_deg,134.3871794335549,deg,event mean over Contact Position frames,Contact Position,5 frames with lowest Bat1_Z inside detected swing segment 818-877,841,839;840;841;842;843,LSHO;RSHO,abs(wrap_to_180(torso_rotation_xy_contact_event - mean(torso_rotation_xy_ready_event))),"{""signed_event_value_deg"": -134.3871794335549}",direction-normalized opening magnitude; signed raw value depends on Vicon XY facing direction
coach_008-coach_cal_03_bat_02,coach,coach,batting,vicon_2026/coach/008-coach Cal 03 Bat 02.c3d,Contact Position,前膝屈曲角,contact_front_knee_flexion_deg,52.836532904840055,deg,event mean over Contact Position frames,Contact Position,5 frames with lowest Bat1_Z inside detected swing segment 818-877,841,839;840;841;842;843,L hip;L knee;L ankle/heel/toe,"180 - angle(front_hip, front_knee, front_ankle)",{},"right-handed assumption: rear side=R, front side=L"
