trial,family,metric,value,unit,status,raw_data_source,method_or_reason
0506Coach_wave,Swing Analysis,Estimated Bat Speed,131.717,km/h,direct,"bat1/bat4 3D coordinates, frame timestamps",3D speed of bat1 at selected swing event; bat4 is also reported in the summary because barrel marker identity is ambiguous.
0506Coach_wave,Swing Analysis,Swing Speed,131.717,km/h,raw_only,"bat1/bat4 3D coordinates, frame timestamps",Raw bat endpoint speed is available; SlyMask-style percentile needs a reference population.
0506Coach_wave,Swing Analysis,Hip Rotation,34.523,deg,direct,LASI/RASI/LPSI/RPSI pelvis markers,Pelvis yaw range over the selected high-speed swing window.
0506Coach_wave,Swing Analysis,Hip-Shoulder Sep,36.178,deg,direct,"LASI/RASI/LPSI/RPSI, LSHO/RSHO",Absolute yaw difference between pelvis axis and shoulder axis at the event frame.
0506Coach_wave,Swing Analysis,Weight Transfer,1.475,%,proxy,"LASI/RASI/LPSI/RPSI, LANK/RANK","Pelvis midpoint translation from phase start to event, normalized by ankle stance width; not a full COM model."
0506Coach_wave,Swing Analysis,Lead Knee Angle,136.435,deg,direct,LASI/LKNE/LANK,Left lead-knee angle from LASI-LKNE-LANK.
0506Coach_wave,Swing Analysis,Trunk Tilt,24.262,deg,direct,"LSHO/RSHO, LASI/RASI/LPSI/RPSI, vertical Z",Torso midpoint vector relative to vertical Z axis.
0506Coach_wave,Swing Analysis,Contact Time,,ms,unavailable,Missing ball marker or bat-ball contact label,"No ball-contact label, bat-ball impact event, or ball marker exists in this CSV."
0506Coach_wave,Swing Analysis,Attack Angle,-27.105,deg,proxy,bat1/bat4 3D coordinates,Bat axis angle relative to the horizontal plane at selected event; true attack angle needs a contact-frame definition.
0506Coach_wave,Swing Analysis,Head Stability,49.174,%,proxy,"LFHD/RFHD/LBHD/RBHD, pelvis markers",Head midpoint drift relative to pelvis midpoint over the selected swing window.
